Type,ID,Primary Text,Secondary Text,Color,Notes
L3,1,John Smith,Sports Reporter,#dc3545,Lower Third Slot 1
L3,2,Jane Doe,Weather Anchor,#dc3545,Lower Third Slot 2
L3,3,Breaking News,Live Coverage,#dc3545,Lower Third Slot 3
L3,4,Coming Up Next,Special Report,#dc3545,Lower Third Slot 4
L3,5,On Location,Downtown Studio,#dc3545,Lower Third Slot 5
Bug,TopLeft,LIVE,,#dc3545,Top Left Corner Bug
Bug,TopRight,PREVIOUSLY,,#dc3545,Top Right Corner Bug
Bug,BottomLeft,Up Next:,,#dc3545,Bottom Left Corner Bug
Bug,BottomRight,Up Next:,,#dc3545,Bottom Right Corner Bug
Ticker,1,Breaking News | Latest Updates | Live Coverage | More Information Coming Soon,,#dc3545,Ticker items separated by |
